Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Flight Controller\Project Outputs for Flight Controller\Pick Place\Pick Place for Flight Controller.txt

========================================================================================================================
File Design Information:

Date:       25/08/25
Time:       11:49
Revision:   515ea2925d75806063f7ad67a9a3f3704030670b
Variant:    No variations
Units used: mil

Designator  Comment                Layer       Footprint                   Center-X(mil) Center-Y(mil) Rotation Description                                                                                                          
R20         RC0603FR-0710KL        TopLayer    FP-RC0603-0_55-IPC_C        2248.032      1750.000      90       "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 10000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"            
R19         RC0603FR-0710KL        TopLayer    FP-RC0603-0_55-IPC_C        2345.472      1750.000      90       "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 10000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"            
R18         RC0603FR-0710KL        TopLayer    FP-RC0603-0_55-IPC_C        1538.386      1332.677      270      "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 10000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"            
R12         RC0603FR-0710KL        TopLayer    FP-RC0603-0_55-IPC_C        1558.071      1197.835      180      "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 10000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"            
U1          CP2102N-A02-GQFN28     TopLayer    FP-CP2102N-A02-GQFN28-IPC_A 1767.716      1602.362      90       "USB Bus Controller, CMOS"                                                                                           
R10         RC0603FR-0710KL        TopLayer    FP-RC0603-0_55-IPC_C        1943.898      1639.697      270      "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 10000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"            
LEFT_MOT    TSW-102-07-G-S         TopLayer    FP-TSW-102-07-G-S-MFG       2889.764      917.323       180      "CONN HEADER VERT 2POS 2.54MM"                                                                                       
RIGHT_MOT   TSW-102-07-G-S         TopLayer    FP-TSW-102-07-G-S-MFG       1673.228      1803.150      0        "CONN HEADER VERT 2POS 2.54MM"                                                                                       
IC1         ESP32-S3-WROOM-1-N16R8 TopLayer    ESP32S3WROOM1N16R8          1108.661      1277.559      90       "Multiprotocol Modules SMD Module"                                                                                   
GND         5003                   TopLayer    KSTN-5003                   3291.339      1804.134      0        "Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS"                                               
Q11         DMP2035U-7             BottomLayer FP-SOT23-IPC_C              2514.764      1810.039      90       "Small Signal Field-Effect Transistor, 3.6A I(D), 20V, 1-Element, P-Channel, Silicon, Metal-oxide Semiconductor FET" 
V_PROT      5003                   TopLayer    KSTN-5003                   3071.850      1037.402      270      "Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS"                                               
+5V         5003                   TopLayer    KSTN-5003                   3072.835      1154.035      270      "Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS"                                               
+3V3        5003                   TopLayer    KSTN-5003                   3071.850      1270.669      270      "Test Point, Orange, Height 4.6 mm, Tail Length 3 mm, 1-Pin THD, RoHS"                                               
MOT4        S4B-XH-A(LF)(SN)       TopLayer    JST-S4B-XH-A(LF)(SN)_V      1336.614      763.779       0        "Male Header, Pitch 2.5 mm, 1 x 4 Position, Height 6.1 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"           
MOT3        S4B-XH-A(LF)(SN)       TopLayer    JST-S4B-XH-A(LF)(SN)_V      2890.748      760.827       0        "Male Header, Pitch 2.5 mm, 1 x 4 Position, Height 6.1 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"           
MOT2        S4B-XH-A(LF)(SN)       TopLayer    JST-S4B-XH-A(LF)(SN)_V      2915.354      1996.063      180      "Male Header, Pitch 2.5 mm, 1 x 4 Position, Height 6.1 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"           
MOT1        S4B-XH-A(LF)(SN)       TopLayer    JST-S4B-XH-A(LF)(SN)_V      1336.614      1996.063      180      "Male Header, Pitch 2.5 mm, 1 x 4 Position, Height 6.1 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"           
RPI_ZERO    S4B-XH-A(LF)(SN)       TopLayer    JST-S4B-XH-A(LF)(SN)_V      1874.016      1994.094      180      "Male Header, Pitch 2.5 mm, 1 x 4 Position, Height 6.1 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"           
Q1          SI4204DY-T1-GE3        BottomLayer SOIC127P600X175-8N          2976.378      1778.543      0        "Dual N-Ch MOSFET SO-8 BWL 20V 4.6mohm @"                                                                            
PWR_IN      XT30PW-F               TopLayer    XT30PWF                     3363.189      1071.850      270      "Socket; DC supply; XT30; female; PIN:2; on PCBs; THT; Colour: yellow"                                               
F1          3413.0330.22           TopLayer    FP-3413_0330_22-MFG         3194.882      1613.189      180      "Electric Fuse, Time Lag Blow, 15A, 32VAC, 63VDC, 100A (IR), Surface Mount, 1206"                                    
R33         RC0603FR-072KL         TopLayer    RESC1608X55X25LL10T15       2968.504      1037.402      180      "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 2000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"             
USB         1050170001             TopLayer    USB-MICRO-B_V               820.866       1860.236      270      "Telecom and Datacom Connector, 5 Contact(s), Female, Right Angle, Surface Mount Terminal, Detent, Receptacle"       
USB_ESD     USBLC6-2SC6            TopLayer    STM-SOT23-6L_V              1062.992      1811.024      0        "Trans Voltage Suppressor Diode, 5V V(RWM), Unidirectional, 1 Element, Silicon"                                      
U6          MPU-6050               TopLayer    IS-QFN-24_V                 2125.984      1377.953      90       "Analog Circuit, 1 Func, CMOS"                                                                                       
U4          LTC4365ITS8-1#TRPBF    BottomLayer FP-TS8-8-05-08-1637-IPC_C   2754.921      1693.898      90       "Power Supply Support Circuit, Adjustable, 1 Channel, CMOS, PDSO8"                                                   
U3          L7805CDT-TR            BottomLayer TO-252_L                    2224.410      1721.457      270      "Fixed Positive Standard Regulator, 5VBIPolar, PSSO2"                                                                
SW2         KMR221GLFS             TopLayer    FP-KMR221GLFS-MFG           2536.417      1374.508      0        "Keypad Switch, 1 Switches, SPST, Momentary-tactile, 0.05A, 32VDC, 2.5N, Solder Terminal, Surface Mount-straight"    
SW1         KMR221GLFS             TopLayer    FP-KMR221GLFS-MFG           2537.402      1024.114      0        "Keypad Switch, 1 Switches, SPST, Momentary-tactile, 0.05A, 32VDC, 2.5N, Solder Terminal, Surface Mount-straight"    
STERN       HSMW-C170-U0000        BottomLayer LEDC2012X90N                3476.378      1027.559      90       "BROADCOM LIMITED - HSMW-C170-U0000 - LED"                                                                           
STARBOARD   150080GS75000          BottomLayer WL-SMCW_0805_150080xx75000  2100.394      2273.622      0        "Single Color LED, Green, Water Clear, 1.4mm"                                                                        
RANGER_DECK S4B-XH-A(LF)(SN)       TopLayer    JST-S4B-XH-A(LF)(SN)_V      2394.685      1994.094      180      "Male Header, Pitch 2.5 mm, 1 x 4 Position, Height 6.1 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"           
R44         RT0603BRD07-2K7L       TopLayer    FP-RT0603-IPC_C             2142.716      1173.228      0        "Fixed Resistor, Thin Film, 0.1W, 2700ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603"                         
R42         RT0603BRD07-2K7L       TopLayer    FP-RT0603-IPC_C             2274.606      1173.228      180      "Fixed Resistor, Thin Film, 0.1W, 2700ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603"                         
R41         RT0603BRD07-2K7L       TopLayer    FP-RT0603-IPC_C             2228.347      1523.622      270      "Fixed Resistor, Thin Film, 0.1W, 2700ohm, 75V, 0.1% +/-Tol, 25ppm/Cel, Surface Mount, 0603"                         
R36         RC0603FR-072KL         TopLayer    RESC1608X55X25LL10T15       2968.504      1270.669      180      "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 2000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"             
R35         RC0603FR-072KL         TopLayer    RESC1608X55X25LL10T15       2968.504      1154.035      180      "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 2000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"             
R30         RC0603FR-0754K9L       BottomLayer RESC1608X55X25ML10T15       2652.559      1545.276      270      "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 54900ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"            
R29         AC0603FR-0744K2L       BottomLayer FP-AC0603-IPC_C             2725.394      1551.114      270      "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 44200ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"            
R28         AC0603FR-071ML         BottomLayer FP-AC0603-IPC_C             2555.185      1574.803      180      "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 1000000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"          
R27         AC0603FR-071ML         BottomLayer FP-AC0603-IPC_C             2792.323      1551.181      90       "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 1000000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"          
R26         RC0603FR-07220KL       BottomLayer RESC1608X55X25LL10T15       2668.307      1720.472      270      "Fixed Resistor, Metal Glaze/thick Film, 0.1W, 220000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"           
